Info,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2011-2025,123,210,13,9230,254*,46.85,16608,55.57,30,31,15,1027,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
vs Australia,2011-2025,30,53,2,2232,186,43.76,4292,52,9,5,3,242,7
vs Bangladesh,2015-2024,8,13,2,536,204,48.72,748,71.65,2,0,1,59,2
vs England,2012-2022,28,50,3,1991,235,42.36,3824,52.06,5,9,6,235,2
vs New Zealand,2012-2024,14,27,2,959,211,38.36,1779,53.9,3,4,2,116,4
vs South Africa,2013-2024,16,28,2,1408,254*,54.15,2459,57.25,3,5,0,184,6
vs Sri Lanka,2015-2022,11,18,2,1085,243,67.81,1589,68.28,5,2,1,99,6
vs West Indies,2011-2023,16,21,0,1019,200,48.52,1917,53.15,3,6,2,92,3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
in Australia,2011-2025,18,34,1,1542,169,46.72,2940,52.44,7,4,2,166,5
in Bangladesh,2015-2022,3,5,1,59,24,14.75,151,39.07,0,0,0,5,0
in England,2014-2023,17,33,0,1096,149,33.21,2111,51.91,2,5,4,129,1
in India,2011-2024,55,87,9,4336,254*,55.58,7311,59.3,14,13,7,474,16
in New Zealand,2014-2020,4,8,1,252,105*,36,438,57.53,1,1,0,38,1
in South Africa,2013-2024,9,18,0,891,153,49.5,1649,54.03,2,4,0,117,3
in Sri Lanka,2015-2017,6,10,1,394,103*,43.77,707,55.72,2,1,0,34,2
in West Indies,2011-2023,11,15,0,660,200,44,1301,50.73,2,3,2,64,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
in Africa,2013-2024,9,18,0,891,153,49.5,1649,54.03,2,4,0,117,3
in Americas,2011-2023,11,15,0,660,200,44,1301,50.73,2,3,2,64,2
in Asia,2011-2024,64,102,11,4789,254*,52.62,8169,58.62,16,14,7,513,18
in Europe,2014-2023,17,33,0,1096,149,33.21,2111,51.91,2,5,4,129,1
in Oceania,2011-2025,22,42,2,1794,169,44.85,3378,53.1,8,5,2,204,6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
home,2011-2024,55,87,9,4336,254*,55.58,7311,59.3,14,13,7,474,16
away,2011-2025,66,119,4,4774,200,41.51,9027,52.88,16,18,8,543,14
neutral,2021-2023,2,4,0,120,49,30,270,44.44,0,0,0,10,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
year 2011,2011-2011,5,9,0,202,63,22.44,473,42.7,0,2,2,15,2
year 2012,2012-2012,9,16,2,689,116,49.21,1474,46.74,3,3,0,89,2
year 2013,2013-2013,8,12,1,616,119,56,1127,54.65,2,3,0,73,2
year 2014,2014-2014,10,20,1,847,169,44.57,1399,60.54,4,2,2,101,2
year 2015,2015-2015,9,15,0,640,147,42.66,1184,54.05,2,2,0,74,1
year 2016,2016-2016,12,18,2,1215,235,75.93,2011,60.41,4,2,0,134,2
year 2017,2017-2017,10,16,2,1059,243,75.64,1389,76.24,5,1,2,97,6
year 2018,2018-2018,13,24,0,1322,153,55.08,2433,54.33,5,5,2,144,2
year 2019,2019-2019,8,11,2,612,254*,68,967,63.28,2,2,2,78,3
year 2020,2020-2020,3,6,0,116,74,19.33,283,40.98,0,1,0,15,0
year 2021,2021-2021,11,19,0,536,72,28.21,1216,44.07,0,4,4,60,1
year 2022,2022-2022,6,11,1,265,79,26.5,672,39.43,0,1,0,33,1
year 2023,2023-2023,8,12,0,671,186,55.91,1226,54.73,2,2,0,70,1
year 2024,2024-2024,10,19,2,417,100*,24.52,673,61.96,1,1,1,43,5
year 2025,2025-2025,1,2,0,23,17,11.5,81,28.39,0,0,0,1,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
season 2011,2011-2011,3,5,0,76,30,15.2,226,33.62,0,0,1,6,1
season 2011/12,2011-2012,5,10,0,415,116,41.5,804,51.61,1,3,1,42,2
season 2012,2012-2012,2,3,1,212,103,106,382,55.49,1,2,0,31,1
season 2012/13,2012-2013,8,13,2,472,107,42.9,1091,43.26,2,1,0,60,2
season 2013/14,2013-2014,6,10,1,546,119,60.66,914,59.73,2,3,0,70,1
season 2014,2014-2014,5,10,0,134,39,13.4,288,46.52,0,0,2,15,0
season 2014/15,2014-2015,4,8,0,692,169,86.5,1093,63.31,4,1,0,77,1
season 2015,2015-2015,4,7,0,247,103,35.28,472,52.33,1,1,0,26,1
season 2015/16,2015-2015,4,6,0,200,88,33.33,387,51.67,0,1,0,25,0
season 2016,2016-2016,4,4,0,251,200,62.75,398,63.06,1,0,0,28,1
season 2016/17,2016-2017,12,21,2,1252,235,65.89,2003,62.5,4,2,1,136,2
season 2017,2017-2017,3,4,1,161,103*,53.66,257,62.64,1,0,0,10,1
season 2017/18,2017-2018,6,11,1,896,243,89.6,1217,73.62,4,2,1,92,4
season 2018,2018-2018,5,10,0,593,149,59.3,1025,57.85,2,3,1,67,1
season 2018/19,2018-2019,6,9,0,466,139,51.77,992,46.97,2,1,1,46,1
season 2019,2019-2019,2,4,0,136,76,34,289,47.05,0,2,1,14,0
season 2019/20,2019-2020,7,10,2,491,254*,61.37,714,68.76,2,0,1,66,3
season 2020/21,2020-2021,5,8,0,250,74,31.25,560,44.64,0,3,2,28,0
season 2021,2021-2021,5,9,0,275,55,30.55,630,43.65,0,2,1,32,0
season 2021/22,2021-2022,5,9,0,278,79,30.88,698,39.82,0,1,1,33,2
season 2022,2022-2022,1,2,0,31,20,15.5,59,52.54,0,0,0,6,0
season 2022/23,2022-2023,6,10,1,342,186,38,712,48.03,1,0,0,31,0
season 2023,2023-2023,3,4,0,260,121,65,497,52.31,1,1,0,25,0
season 2023/24,202-2024,2,4,0,172,76,43,216,79.62,0,1,0,25,2
season 2024/25,2024-2025,10,19,2,382,100*,22.47,684,55.84,1,1,1,36,4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
*JJ Bumrah,2022-2025,3,6,1,159,100*,31.8,295,53.89,1,0,0,15,2
*MS Dhoni,2011-2014,30,53,4,1960,169,40,3839,51.05,6,10,4,237,6
*V Kohli,2014-2022,68,113,6,5864,254*,54.8,10186,57.56,20,18,10,646,17
*KL Rahul,2022-2022,2,4,1,45,24,15,129,34.88,0,0,0,3,0
*V Sehwag,2012-2012,1,2,0,138,116,69,275,50.18,1,0,0,13,1
*RG Sharma,2022-2024,19,32,1,1064,186,34.32,1884,56.47,2,3,1,113,4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
is captain,2014-2022,68,113,6,5864,254*,54.8,10186,57.56,20,18,10,646,17
is not captain,2011-2025,55,97,7,3366,186,37.4,6422,52.41,10,13,5,381,13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
is not keeper,2011-2025,123,210,13,9230,254*,46.85,16608,55.57,30,31,15,1027,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
won the toss,2011-2025,57,99,8,4171,254*,45.83,7279,57.3,11,15,5,472,13
lost the toss,2011-2024,66,111,5,5059,235,47.72,9329,54.22,19,16,10,555,17
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
won toss & batted,2011-2025,49,88,6,3728,254*,45.46,6608,56.41,10,13,5,416,11
won toss & fielded,2011-2024,8,11,2,443,105*,49.22,671,66.02,1,2,0,56,2
lost toss & sent in,2011-2024,20,39,1,1263,121,33.23,2471,51.11,3,6,4,144,4
lost toss & fielded,2011-2024,46,72,4,3796,235,55.82,6858,55.35,16,10,6,411,13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
matches batting first,2011-2025,69,127,7,4991,254*,41.59,9079,54.97,13,19,9,560,15
matches fielding first,2011-2024,54,83,6,4239,235,55.05,7529,56.3,17,12,6,467,15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
1st team innings,2011-2025,122,121,2,6257,254*,52.57,11171,56.01,24,14,10,696,16
2nd team innings,2011-2025,96,89,11,2973,141,38.11,5437,54.68,6,17,5,331,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
1st match innings,2011-2025,69,69,1,3106,254*,45.67,5523,56.23,9,9,6,358,4
2nd match innings,2011-2024,53,52,1,3151,235,61.78,5648,55.78,15,5,4,338,12
3rd match innings,2011-2025,58,57,5,1871,104*,35.98,3535,52.92,4,10,3,199,11
4th match innings,2011-2024,38,32,6,1102,141,42.38,1902,57.93,2,7,2,132,3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
day match,2011-2025,118,202,13,8935,254*,47.27,16075,55.58,29,30,15,992,30
day/night match,2019-2024,5,8,0,295,136,36.87,533,55.34,1,1,0,35,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
won match,2011-2024,62,102,10,4746,254*,51.58,8194,57.92,14,16,7,526,17
lost match,2011-2025,39,78,0,2543,153,32.6,4948,51.39,7,10,5,297,7
drawn match,2011-2024,22,30,3,1941,243,71.88,3466,56,9,5,3,204,6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
won batting first,2011-2024,40,72,6,3198,254*,48.45,5606,57.04,9,11,5,352,9
won fielding first,2012-2024,22,30,4,1548,235,59.53,2588,59.81,5,5,2,174,8
lost batting first,2012-2025,21,42,0,987,79,23.5,2191,45.04,0,6,2,122,3
lost fielding first,2011-2024,18,36,0,1556,153,43.22,2757,56.43,7,4,3,175,4
drawn batting first,2011-2023,8,13,1,806,243,67.16,1282,62.87,4,2,2,86,3
drawn fielding first,2011-2024,14,17,2,1135,186,75.66,2184,51.96,5,3,1,118,3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
2 team series,2011-2025,122,208,13,9167,254*,47.01,16499,55.56,30,31,15,1018,30
5+ team tournaments,2019-2025,46,79,5,2617,254*,35.36,5059,51.72,5,11,7,296,11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
only match in series,2015-2021,3,5,0,313,204,62.6,469,66.73,1,0,0,29,1
1st match in series,2011-2024,38,66,7,2677,200,45.37,4695,57.01,11,10,6,305,11
2nd match in series,2011-2024,37,63,4,2704,254*,45.83,4638,58.3,9,6,5,302,13
3rd match in series,2011-2024,25,44,2,2031,243,48.35,3903,52.03,4,12,1,223,3
4th match in series,2012-2024,14,21,0,1298,235,61.8,2482,52.29,5,3,2,142,2
5th match in series,2014-2025,5,9,0,144,49,16,312,46.15,0,0,1,17,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
Border-Gavaskar,2011-2025,29,51,2,2169,186,44.26,4183,51.85,9,5,3,233,7
ICC World Test Champ,2019-2025,46,79,5,2617,254*,35.36,5059,51.72,5,11,7,296,11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
tournament finals,2021-2023,2,4,0,120,49,30,270,44.44,0,0,0,10,0
preliminary matches,2019-2025,44,75,5,2497,254*,35.67,4789,52.14,5,11,7,286,11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
3rd position,2012-2024,5,8,1,167,70,23.85,286,58.39,0,1,1,21,1
4th position,2013-2025,98,160,9,7564,254*,50.09,13298,56.88,26,21,12,835,21
5th position,2011-2024,27,32,3,1084,107,37.37,2220,48.82,3,6,1,129,6
6th position,2011-2012,5,9,0,404,116,44.88,783,51.59,1,3,1,41,2
7th position,2011-2011,1,1,0,11,11,11,21,,,,,,
